code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.02669,CHINA OVS PPT,4.0,8.048,2.143,8922854,0.842,18.313799999999997
HK.00941,CHINA MOBILE,77.5,11.23,1.092,28975450,0.978,18.2964
HK.00525,GUANGSHEN RAIL,2.12,13.086,0.486,5852000,0.881,18.273600000000002
HK.00384,CHINA GAS HOLD,7.4,12.395,0.719,6549610,0.739,18.2688
HK.09899,NETEASE MUSIC,126.4,8.924,1.905,983309,0.97,18.2166
HK.02096,SIMCERE PHARMA,11.23,19.598,2.798,8115846,1.747,18.2048
HK.00728,CHINA TELECOM,4.86,12.089,0.871,42632250,0.553,18.1788
HK.06865,FLAT GLASS,8.73,18.814,0.86,4294000,1.113,18.163600000000002
HK.01330,DYNAGREEN ENV,5.4,12.217,0.86,4342000,0.817,18.1218
HK.00857,PETROCHINA,10.96,11.275,1.175,135777794,0.7,18.12
HK.07618,JD INDUSTRIALS,12.52,13.262,2.739,2119323,1.006,18.1126
HK.06655,HX BLDG MAT,15.28,12.175,0.918,3555500,0.901,18.042599999999997
HK.01836,STELLA HOLDINGS,14.03,10.969,1.38,1191806,0.283,17.9346
HK.02380,CHINA POWER,3.27,12.576,0.851,14671366,0.56,17.9226
HK.02386,SINOPEC SEG,5.86,12.935,0.732,6834953,0.897,17.921399999999995
HK.06608,BAIRONG-W,8.3,12.989,0.718,1397000,0.861,17.914199999999997
HK.00288,WH GROUP,10.15,10.684,1.495,27634995,0.765,17.898600000000002
HK.02388,BOC HONG KONG,41.42,11.454,1.261,4492635,0.363,17.857799999999997
HK.00777,NETDRAGON,8.44,13.208,0.72,1480500,0.636,17.779200000000003
HK.03900,GREENTOWN CHINA,9.23,13.593,0.6,5171500,0.457,17.7642
HK.00558,LK TECH,2.62,10.194,1.744,1335000,0.389,17.7444
HK.01951,JXR,2.25,20.27,0.612,25945500,1.103,17.736399999999996
HK.01513,LIVZON PHARMA,27.2,10.78,1.57,735060,0.937,17.706
HK.03323,CNBM,4.93,14.5,0.336,39271805,0.786,17.695199999999996
HK.03898,TIMES ELECTRIC,36.12,12.269,1.089,2163900,0.828,17.6784
HK.06049,POLY PPT SER,31.02,10.785,1.585,1006000,0.817,17.676
HK.01044,HENGAN INT'L,27.9,11.538,1.344,2543408,0.892,17.657999999999998
HK.01104,APAC RESOURCES,2.27,13.841,0.577,3320105,0.356,17.656799999999997
HK.09987,YUM CHINA,390.0,19.043,3.289,1392067,2.037,17.654
HK.06690,HAIER SMARTHOME,23.04,10.676,1.649,13997037,0.66,17.626199999999997
HK.09973,CHERY AUTO,26.9,7.42,2.78,3633722,0.705,17.543999999999997
HK.09992,POP MART,150.1,14.231,8.161,98571582,2.57,17.461399999999998
HK.01113,CK ASSET,45.56,14.701,0.402,6844076,0.61,17.455799999999996
HK.03690,MEITUAN-W,86.6,13.829,2.915,115198962,1.233,17.455599999999997
HK.03908,CICC,17.38,13.642,0.784,10456950,0.67,17.4036
HK.02155,MORIMATSU INTL,6.47,12.138,1.299,10445094,0.487,17.379
HK.02555,CHABAIDAO,5.74,16.637,2.034,1607600,1.297,17.3566
HK.02020,ANTA SPORTS,75.8,14.091,2.91,13353799,1.367,17.3074
HK.09896,MNSO,31.04,13.31,3.197,3472602,1.442,17.2594
HK.03759,PHARMARON,18.0,17.013,2.058,4852800,1.059,17.0878
HK.01093,CSPC PHARMA,8.29,22.225,2.6,228284845,2.497,16.985
HK.00066,MTR CORPORATION,32.08,13.604,1.038,5024462,0.66,16.9692
HK.00386,SINOPEC CORP,4.52,15.252,0.597,253256733,0.997,16.7742
HK.02618,JD LOGISTICS,13.92,12.62,1.534,9226935,0.663,16.666800000000002
HK.06069,SY HOLDINGS,9.0,18.072,1.979,7302500,1.079,16.5946
HK.00992,LENOVO GROUP,9.5,10.944,2.141,58461500,0.686,16.579799999999995
HK.00788,CHINA TOWER,10.87,14.849,0.847,12462506,0.562,16.566
HK.02419,DEKON AGR,66.5,16.199,2.622,2466500,1.249,16.561
HK.06110,TOPSPORTS,2.75,12.222,1.731,6158000,0.567,16.551
HK.02175,CH GENERAL EDU,3.57,21.506,0.869,1472000,7.763,16.5322
HK.02460,CR BEVERAGE,8.93,12.116,1.797,1683000,0.394,16.4958
HK.00005,HSBC HOLDINGS,124.5,13.021,1.547,12325195,0.551,16.4028
HK.02313,SHENZHOU INTL,53.1,11.844,1.969,4022326,0.605,16.3494
HK.02611,GTHT,12.84,16.09,0.657,11152916,0.979,16.1634
HK.02610,NANSHAN AL INTL,54.7,10.881,2.397,620120,0.284,16.1568
HK.02651,DAZHONG DENTAL,11.73,12.791,3.989,5342000,5.293,16.145200000000003
HK.02869,GREENTOWN SER,4.23,13.601,1.504,2253000,0.378,16.1322
HK.00868,XINYI GLASS,10.14,14.846,1.1,4016697,0.149,16.112399999999997
HK.03978,BESTSTUDY EDU,3.44,8.73,3.155,1718000,0.722,16.083
HK.00175,GEELY AUTO,20.7,11.972,2.183,93003736,0.555,15.8874
HK.09618,JD-SW,112.6,14.703,1.282,15109823,0.98,15.8706
HK.02689,ND PAPER,6.94,16.803,0.598,10882000,0.862,15.841800000000001
HK.02018,AAC TECH,34.36,14.406,1.485,3972961,0.422,15.683399999999999
HK.01171,YANKUANG ENERGY,15.92,10.529,2.795,33585590,0.429,15.651599999999998
HK.00270,GUANGDONG INV,7.45,15.488,1.166,12834500,0.945,15.608400000000001
HK.00151,WANT WANT CHINA,4.4,11.055,2.658,4630602,0.727,15.5826
HK.00425,MINTH GROUP,36.18,14.221,1.629,7281194,0.887,15.535199999999996
HK.00354,CHINASOFT INT'L,3.45,16.995,0.734,25126000,0.76,15.481799999999998
HK.01364,GUMING,25.42,17.567,9.376,20325422,1.867,15.4598
HK.06030,CITIC SEC,24.94,15.774,1.204,7500700,0.539,15.3684
HK.00659,CTF SERVICES,7.88,16.624,0.926,1131124,0.447,15.358799999999999
HK.00667,CHINA EAST EDU,5.35,14.19,1.741,3141000,0.459,15.352200000000002
HK.00991,DATANG POWER,2.78,15.617,1.337,27213000,0.745,15.223199999999999
HK.01913,PRADA,38.64,12.727,2.334,622418,0.252,15.1626
HK.02039,CIMC,10.12,16.81,1.013,1285200,0.376,15.090599999999998
HK.02186,LUYE PHARMA,2.32,18.125,0.593,8365000,0.485,15.057599999999999
HK.00027,GALAXY ENT,35.08,14.394,1.847,8651546,0.735,15.038999999999998
HK.03600,MODERN DENTAL,6.17,14.151,1.929,531000,0.565,15.037199999999999
HK.00168,TSINGTAO BREW,48.76,14.178,1.938,2328066,0.612,15.004800000000001
HK.03998,BOSIDENG,3.96,12.147,2.636,17583579,0.698,14.966999999999999
HK.06936,SF HOLDING,33.46,15.355,1.567,1735020,0.81,14.966399999999998
HK.01378,CHINAHONGQIAO,33.38,13.288,2.269,52700266,0.625,14.943
HK.00001,CKH HOLDINGS,58.65,18.968,0.399,3379851,0.261,14.901
HK.01579,YIHAI INTL,16.1,17.653,3.159,7184000,1.071,14.722
HK.02714,MUYUAN,40.5,12.107,2.814,2444900,0.866,14.6706
HK.06060,ZA ONLINE,13.3,18.37,0.795,6763368,0.387,14.546999999999997
HK.02600,CHALCO,10.81,13.841,2.306,18595716,0.202,14.544599999999999
HK.02057,ZTO EXPRESS-W,193.8,14.721,2.013,1630059,0.619,14.544
