code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SH.601107,Sichuan Expressway,6.44,13.501,1.173,12134496,0.797,16.788
SZ.300856,Nanjing Cosmos Chemical,12.34,10.439,2.194,3372280,0.303,16.787399999999998
SH.603230,Inner Mongolia Xinhua Distribution Group,11.95,12.5,1.511,2977500,0.943,16.780199999999997
SH.601827,"Chongqing Sanfeng Environment Group Corp.,",9.21,13.175,1.294,12292215,0.995,16.7658
SH.600557,Jiangsu Kanion Pharmaceutical,13.15,19.002,1.579,5041545,1.064,16.7566
SH.600690,Haier Smart Home,23.11,11.566,1.838,41441564,0.873,16.751999999999995
SZ.002053,Yunnan Energy Investment,13.69,18.676,1.701,42005973,1.38,16.732599999999998
SH.601200,Shanghai Environment Group,8.84,20.702,1.026,21223613,1.074,16.732
SH.600866,Star Lake Bioscience,7.25,12.764,1.45,17726470,0.56,16.7316
SH.688128,"China National Electric Apparatus Research Institute Co., Ltd.",24.73,21.411,3.023,6499696,2.941,16.712
SH.600761,"Anhui Heli Co., Ltd.",18.56,12.523,1.546,11629394,0.653,16.7034
SH.600373,Chinese Universe Publishing And Media Group,8.4,15.217,0.649,7293152,0.67,16.7016
SH.600167,Luenmei Quantum,7.51,25.807,1.567,61620629,2.382,16.6952
SH.603681,"Shanghai Yongguan Adhesive Products Corp.,Ltd",16.66,20.193,1.223,6756674,1.062,16.6828
SH.600662,Shanghai Foreign Service Holdinggroup,4.99,10.483,2.258,13279044,0.853,16.6458
SH.603797,Guangdong Liantai Environmental Protection,4.61,14.823,0.821,7676620,0.759,16.6284
