ts_code,name,industry,total_return
000839.SZ,国安股份,综合类,-64.50261780104711
000848.SZ,承德露露,软饮料,-15.074309978768577
000850.SZ,华茂股份,纺织,8.676789587852483
000852.SZ,石化机械,化工机械,-29.120323559150663
000856.SZ,冀东装备,专用机械,-44.593301435406694
000858.SZ,五粮液,白酒,28.39414246711342
000859.SZ,国风新材,塑料,143.55971896955506
000860.SZ,顺鑫农业,白酒,-32.7415143603133
000862.SZ,银星能源,新型电力,45.714285714285694
000863.SZ,三湘印象,区域地产,-2.4436090225563887
000868.SZ,安凯客车,汽车整车,-47.31428571428571
000869.SZ,张裕Ａ,红黄酒,-49.59582790091265
000875.SZ,电投绿能,火力发电,71.53846153846155
000876.SZ,新希望,饲料,9.681697612732089
000877.SZ,天山股份,水泥,-53.73961218836565
000878.SZ,云南铜业,铜,28.53146853146852
000880.SZ,潍柴重机,专用机械,192.40780911062907
000881.SZ,中广核技,化工原料,-38.579067990832705
000882.SZ,华联股份,其他商业,-45.09803921568628
000883.SZ,湖北能源,水力发电,5.496828752642701
000885.SZ,城发环境,环境保护,-19.495008807985908
000886.SZ,海南高速,区域地产,-21.360544217687067
000887.SZ,中鼎股份,汽车配件,-0.6047278724574106
000888.SZ,峨眉山Ａ,旅游景点,15.447154471544708
000889.SZ,中嘉博创,通信设备,-73.91304347826086
000890.SZ,法尔胜,环境保护,118.40942562592045
000892.SZ,欢瑞世纪,影视音像,-22.363405336721726
000893.SZ,亚钾国际,农药化肥,594.7027027027028
000895.SZ,双汇发展,食品,3.609187021509304
001896.SZ,豫能控股,火力发电,171.22040072859747
000897.SZ,津滨发展,区域地产,-38.01169590643275
000898.SZ,鞍钢股份,普钢,-63.78787878787878
000899.SZ,赣能股份,火力发电,123.66666666666666
000900.SZ,现代投资,路桥,-26.642984014209592
000901.SZ,航天科技,汽车配件,-4.5415959252971145
000902.SZ,新洋丰,农药化肥,57.00293829578844
000903.SZ,ST云动,汽车配件,-26.285714285714285
000905.SZ,厦门港务,港口,9.21052631578946
000906.SZ,浙商中拓,仓储物流,-23.025435073627843
000908.SZ,ST景峰,化学制药,32.467532467532465
000909.SZ,ST数源,区域地产,-42.80338664158044
000910.SZ,大亚圣象,家居用品,-69.29898648648648
000911.SZ,广农糖业,食品,-27.16577540106952
000912.SZ,泸天化,农药化肥,-2.4604569420035247
000913.SZ,钱江摩托,摩托车,-24.438902743142148
000915.SZ,华特达因,化学制药,0.8709677419354824
000917.SZ,电广传媒,广告包装,3.769401330376939
000919.SZ,金陵药业,化学制药,-17.885264341957264
000920.SZ,沃顿科技,塑料,16.086065573770494
000921.SZ,海信家电,家用电器,49.231843575419
000922.SZ,佳电股份,电气设备,59.64705882352942
000923.SZ,河钢资源,普钢,-21.370099095217583
000925.SZ,众合科技,运输设备,-54.36156763590393
000926.SZ,福星股份,区域地产,-82.3873121869783
000927.SZ,中国铁物,仓储物流,-33.33333333333333
000928.SZ,中钢国际,建筑工程,3.3434650455927013
000929.SZ,*ST兰黄,啤酒,-18.907563025210084
000930.SZ,中粮科技,农业综合,-41.88176519567027
000931.SZ,中关村,化学制药,-25.362318840579707
000932.SZ,华菱钢铁,普钢,-38.61502347417839
000933.SZ,神火股份,铝,201.70777988614805
000935.SZ,四川双马,水泥,45.658424381828624
000936.SZ,华西股份,化纤,7.069219440353454
000937.SZ,冀中能源,煤炭开采,-0.8375209380234475
000938.SZ,紫光股份,IT设备,-65.65656565656566
000948.SZ,南天信息,软件服务,47.20077220077221
000949.SZ,新乡化纤,化纤,46.60831509846827
000950.SZ,重药控股,医药商业,-43.339960238568594
000951.SZ,中国重汽,汽车整车,26.035834266517373
000952.SZ,广济药业,化学制药,-50.44008124576844
000953.SZ,河化股份,化学制药,-12.469437652811731
000955.SZ,欣龙控股,纺织,-24.88822652757079
000957.SZ,中通客车,汽车整车,-2.721685689201058
000958.SZ,电投产融,新型电力,27.435387673956257
000959.SZ,首钢股份,普钢,-23.69281045751634
000960.SZ,锡业股份,小金属,145.68835098335853
000962.SZ,东方钽业,小金属,450.34965034965035
000963.SZ,华东医药,化学制药,-34.312096029547554
000965.SZ,天保基建,区域地产,-33.21799307958478
000966.SZ,长源电力,火力发电,27.835051546391753
000967.SZ,盈峰环境,环境保护,-8.48167539267016
000968.SZ,蓝焰控股,石油开采,-35.58823529411765
000969.SZ,安泰科技,小金属,130.63263041065485
000970.SZ,中科三环,矿物制品,-20.055325034578146
000972.SZ,*ST中基,食品,-5.225653206650825
000973.SZ,佛塑科技,塑料,214.96710526315786
000975.SZ,山金国际,黄金,122.74422073079792
000977.SZ,浪潮信息,IT设备,180.8320950965825
000978.SZ,桂林旅游,旅游景点,-9.832134292565952
000980.SZ,众泰汽车,汽车配件,-80.0498753117207
000981.SZ,山子高科,汽车配件,-50.95613048368954
000983.SZ,山西焦煤,煤炭开采,-33.74407582938389
000985.SZ,大庆华科,化工原料,-5.457156534226906
000987.SZ,越秀资本,多元金融,-14.399205561072502
000988.SZ,华工科技,专用机械,540.4191616766467
000989.SZ,九芝堂,中成药,-48.91774891774892
000990.SZ,诚志股份,化工原料,-40.13840830449826
000993.SZ,闽东电力,水力发电,85.14357053682897
000995.SZ,皇台酒业,白酒,12.373540856031127
000997.SZ,新大陆,IT设备,6.821787414066627
000998.SZ,隆平高科,种植业,-60.20131629887727
000999.SZ,华润三九,中成药,5.361131794489952
002001.SZ,新和成,化学制药,-10.044977511244385
002181.SZ,粤传媒,出版业,144.421906693712
600000.SH,浦发银行,银行,-21.305031446540887
600004.SH,白云机场,机场,-39.32432432432432
600006.SH,东风股份,汽车整车,7.614213197969547
600007.SH,中国国贸,园区开发,20.32710280373832
600008.SH,首创环保,水务,-39.42307692307693
600009.SH,上海机场,机场,-37.54504504504504
600010.SH,包钢股份,普钢,2.400000000000002
600011.SH,华能国际,火力发电,14.194577352472098
600012.SH,皖通高速,路桥,34.94718309859156
600015.SH,华夏银行,银行,-20.96597145993413
600016.SH,民生银行,银行,-54.81220657276995
600019.SH,宝钢股份,普钢,-27.566964285714292
600020.SH,中原高速,路桥,-22.000000000000004
600021.SH,上海电力,火力发电,105.33769063180831
600026.SH,中远海能,水运,264.5161290322581
600028.SH,中国石化,石油加工,-6.279434850863427
600029.SH,南方航空,空运,-49.73684210526316
600030.SH,中信证券,证券,30.694143167028198
600031.SH,三一重工,工程机械,99.05063291139241
600033.SH,福建高速,路桥,3.5230352303523005
600035.SH,楚天高速,路桥,-26.70454545454546
600036.SH,招商银行,银行,33.288318703578646
600037.SH,歌华有线,影视音像,-42.922723794950265
600038.SH,中直股份,航空,-27.15076660988075
600039.SH,四川路桥,建筑工程,146.34146341463418
600050.SH,中国联通,电信运营,-30.745341614906835
600051.SH,宁波联合,综合类,-18.53403141361257
600052.SH,东望时代,供气供热,4.392764857881136
600053.SH,九鼎投资,多元金融,-36.34847853272197
600054.SH,黄山旅游,旅游景点,-7.933194154488509
600055.SH,万东医疗,医疗保健,-6.313131313131313
600056.SH,中国医药,医药商业,-58.679017317760774
600057.SH,厦门象屿,仓储物流,1.867995018679955
600058.SH,五矿发展,商贸代理,-5.85808580858085
600059.SH,古越龙山,红黄酒,-5.016008537886861
600060.SH,海信视像,家用电器,39.77572559366755
600061.SH,国投资本,证券,-48.23175319789315
600062.SH,华润双鹤,化学制药,-23.502871205906484
600063.SH,皖维高新,化纤,81.88976377952754
600064.SH,南京高科,园区开发,-41.63179916317992
600066.SH,宇通客车,汽车整车,34.8221670802316
600067.SH,冠城新材,电气设备,-37.5951293759513
600071.SH,凤凰光学,元器件,8.540103866128105
600072.SH,中船科技,电气设备,1.2232415902140683
600073.SH,光明肉业,食品,-26.755447941888622
600075.SH,新疆天业,化工原料,-6.508135168961207
600076.SH,康欣新材,广告包装,-51.802403204272366
600078.SH,澄星股份,化工原料,119.8148148148148
600079.SH,ST人福,化学制药,3.238199780461031
600080.SH,金花股份,中成药,5.853658536585372
600081.SH,东风科技,汽车配件,-6.89941812136326
600082.SH,海泰发展,园区开发,-40.365448504983384
600084.SH,中信尼雅,红黄酒,4.726735598227479
600085.SH,同仁堂,中成药,-13.181398213735749
600088.SH,中视传媒,影视音像,9.923076923076916
600089.SH,特变电工,电气设备,176.31840796019898
600094.SH,大名城,区域地产,-42.04545454545455
600095.SH,湘财股份,证券,50.15974440894569
600096.SH,云天化,农药化肥,372.0647773279352
600097.SH,开创国际,渔业,-35.088757396449694
600098.SH,广州发展,火力发电,3.6619718309859253
600099.SH,林海股份,汽车整车,15.637860082304522
600100.SH,同方股份,IT设备,-18.61648016276704
600101.SH,明星电力,水力发电,7.39957716701902
600103.SH,青山纸业,造纸,-8.157894736842096
600104.SH,上汽集团,汽车整车,-54.73717343405728
600105.SH,永鼎股份,通信设备,320.8206686930091
600106.SH,重庆路桥,路桥,26.976744186046513
600107.SH,ST尔雅,服饰,-50.15748031496062
600108.SH,亚盛集团,种植业,18.932038834951463
600109.SH,国金证券,证券,-12.68191268191267
600110.SH,诺德股份,电气设备,-3.9070749736008548
600111.SH,北方稀土,小金属,218.09588116137743
600113.SH,浙江东日,区域地产,386.073500967118
600114.SH,东睦股份,机械基件,72.48611967921036
600115.SH,中国东航,空运,-45.8955223880597
600116.SH,三峡水利,水力发电,-24.808743169398912
600117.SH,西宁特钢,特种钢,-53.8860103626943
600118.SH,中国卫星,航空,219.03263861580808
600119.SH,长江投资,仓储物流,-55.47445255474452
600120.SH,浙江东方,多元金融,-77.41024606696247
600121.SH,郑州煤电,煤炭开采,-14.193548387096772
600123.SH,兰花科创,煤炭开采,-27.148846960167706
600125.SH,铁龙物流,铁路,-36.81818181818181
600126.SH,杭钢股份,普钢,19.885550786838348
600127.SH,金健米业,农业综合,63.973799126637545
600128.SH,苏豪弘业,商贸代理,15.084388185654005
600129.SH,太极集团,中成药,3.2535297728667962
600130.SH,*ST波导,元器件,-40.518417462482944
600131.SH,国网信通,通信设备,169.55903271692742
600132.SH,重庆啤酒,啤酒,170.05220692928333
600133.SH,东湖高新,环境保护,-5.36480686695279
600135.SH,乐凯胶片,塑料,0.3629764065335837
600136.SH,ST明诚,房产服务,-85.63218390804597
600137.SH,浪莎股份,服饰,-10.216110019646358
600138.SH,中青旅,旅游景点,-56.8139097744361
600141.SH,兴发集团,农药化肥,92.37668161434978
600148.SH,长春一东,汽车配件,-25.994375251104856
